Source,Target,Type,Affordance,Description
1,2,Directed,Demand,"BioTexCom Clinic demands operational support from Medical Staff, essential for carrying out surrogacy services."
1,3,Directed,Demand,"BioTexCom Clinic demands compliance from Legal Team to meet regulatory and contractual standards, especially concerning surrogates' rights."
1,3,Directed,Encourage,BioTexCom supports Legal TeamÕs efforts to keep surrogacy contracts compliant with local and international standards.
1,4,Directed,Allow,"BioTexCom Clinic allows Administrative Staff to coordinate logistics between clients, surrogates, and clinic departments."
1,5,Directed,Allow,BioTexCom collaborates with Marketing Team to craft messaging that accurately reflects the clinicÕs ethical practices.
1,5,Directed,Encourage,"BioTexCom Clinic encourages Marketing to promote surrogacy services internationally, focusing on affordability and accessibility."
1,6,Directed,Encourage,"BioTexCom Clinic supports limited Support Staff during high-demand periods, facilitating workload balance."
1,7,Directed,Request,"BioTexCom Clinic requests surrogate networks recruit economically motivated women, targeting those in need of income."
1,8,Directed,Allow,"BioTexCom Clinic allows experienced surrogates to act as mentors, helping newer surrogates adjust to the process."
1,8,Directed,Encourage,"BioTexCom encourages experienced surrogates to participate in peer mentorship programs, helping new surrogates navigate challenges."
1,10,Directed,Demand,BioTexCom Clinic demands higher participation from conflict-resilient surrogates during challenging cases.
1,12,Directed,Encourage,"BioTexCom Clinic encourages NGOs to provide feedback on surrogacy protocols, aiming to align practices with ethical standards. / BioTexCom supports NGO initiatives that provide education on surrogate rights, strengthening ethical community relations."
1,12,Directed,Request,BioTexCom Clinic requests NGOs highlight positive surrogate experiences to balance public perception.
1,14,Directed,Allow,BioTexCom partners with Human Rights Watch to ensure ethical oversight of surrogate health standards.
1,14,Directed,Refuse,"BioTexCom Clinic refuses full access to Human Rights Watch, limiting scrutiny to safeguard client privacy."
1,15,Directed,Discourage,"BioTexCom Clinic discourages advocacy groups from direct interventions, preferring internal compliance measures. / BioTexCom Clinic discourages Stop Surrogacy Now from conducting anti-surrogacy protests at clinic locations."
1,16,Directed,Allow,"BioTexCom Clinic allows Tourism Agencies to promote its services to international clients, increasing client diversity."
1,16,Directed,Encourage,BioTexCom supports Tourism Agencies by offering comprehensive information on clinic operations to inform international clients.
1,17,Directed,Encourage,BioTexCom Clinic supports IVF TravelÕs logistical needs to facilitate client-surgeon connections.
1,18,Directed,Request,"BioTexCom Clinic requests Tammuz Family promote the clinic's success rate, attracting clients from specific demographics."
1,19,Directed,Demand,"BioTexCom Clinic demands Egg Donor & Surrogacy Institute provide more egg donation options, enhancing service offerings."
1,20,Directed,Encourage,"BioTexCom Clinic encourages Local Authorities to provide security around clinic premises, ensuring surrogate and client safety. / BioTexCom advocates for Local Authorities to provide support for surrogates, enhancing community involvement in surrogate welfare."
1,21,Directed,Request,BioTexCom Clinic requests Health Ministry maintain current health protocols to continue operations.
1,22,Directed,Allow,"BioTexCom Clinic allows Family Law Code to influence surrogate contract terms, maintaining legal alignment."
1,25,Directed,Refuse,"BioTexCom Clinic restricts practices that conflict with UNCRC child welfare policies, adhering to international standards."
1,26,Directed,Encourage,"BioTexCom Clinic encourages media outlets to showcase successful surrogacy stories, improving public perception."
1,27,Directed,Encourage,"BioTexCom encourages ECHR to establish clear guidelines for surrogacy contracts, promoting international legal consistency."
1,27,Directed,Request,"BioTexCom requests ECHRÕs guidance to align with European human rights standards, enhancing clinic credibility."
1,29,Directed,Allow,"BioTexCom Clinic allows Intended Parents access to surrogate health records (with consent), enhancing transparency."
1,33,Directed,Demand,"BioTexCom demands that families of surrogates provide post-birth support to the surrogate, recognizing the psychological aspects of the process."
1,33,Directed,Encourage,"BioTexCom Clinic encourages families of surrogates to stay involved during the contract, fostering emotional support."
1,35,Directed,Encourage,"BioTexCom supports media efforts to accurately portray the surrogacy process, promoting transparency and addressing misconceptions."
1,39,Directed,Allow,"BioTexCom Clinic allows the use of IVF technology, facilitating surrogacy and enabling biological reproduction for clients."
1,39,Directed,Encourage,"BioTexCom promotes IVF technology as a key aspect of their surrogacy program, enhancing their reputation in the fertility industry."
2,5,Directed,Encourage,"Medical Staff supports Marketing Team by providing detailed health data for promotional materials, emphasizing clinic safety."
2,39,Directed,Demand,Medical Staff demands precise IVF protocols to ensure successful implantation and reduce health risks to surrogates.
3,1,Directed,Demand,"Legal Team ensures BioTexCom adheres to contractual terms for IVF procedures, safeguarding both clients and surrogates."
3,1,Directed,Request,Legal Team recommends BioTexCom adopt clearer transparency policies in response to client and surrogate feedback.
3,7,Directed,Allow,"Legal Team allows surrogate network to review contract clauses, increasing surrogate understanding and compliance."
3,7,Directed,Request,"Legal Team recommends that surrogate network advise surrogates on legal aspects, promoting informed decisions."
3,8,Directed,Encourage,"Legal Team educates experienced surrogates on their legal rights, empowering them with knowledge for future surrogacy engagements."
3,8,Directed,Request,Legal Team requests experienced surrogates provide input on legal protections needed in contracts.
3,12,Directed,Allow,"Legal Team allows NGOs access to contract templates for transparency and ethical verification. / Legal Team collaborates with NGOs to develop ethical surrogacy contracts, incorporating surrogate protections."
3,14,Directed,Request,"Legal Team requests Human Rights Watch review clinic practices, promoting transparency and ethical compliance."
3,16,Directed,Demand,"Legal Team demands Tourism Agencies adhere to client privacy standards, preventing unauthorized data sharing."
3,17,Directed,Encourage,Legal Team facilitates IVF TravelÕs operations by ensuring that surrogacy contracts include travel rights for international surrogates and clients.
3,18,Directed,Encourage,"Legal Team advises Tammuz Family on legal compliance in international surrogacy contracts, ensuring ethical practices."
3,19,Directed,Allow,"Legal Team permits Egg Donor & Surrogacy Institute to access legal documentation for egg donor contracts, ensuring legal clarity."
3,22,Directed,Encourage,"Legal Team supports Family Law Code by integrating legal updates into surrogate contracts, maintaining compliance."
3,25,Directed,Allow,"Legal Team allows UNCRC guidelines to shape child protection clauses in surrogacy contracts, aligning with ethical norms."
3,25,Directed,Request,Legal Team recommends UNCRC adopt standards that protect surrogate-born childrenÕs rights in international cases.
3,26,Directed,Allow,"Legal Team collaborates with media to explain legal aspects of surrogacy, enhancing public understanding. / Legal Team allows media access to certain legal records, enhancing transparency about surrogacy regulations."
3,27,Directed,Encourage,"Legal Team supports ECHR by referencing human rights guidelines in contract development, aligning with ethical standards."
3,29,Directed,Encourage,Legal Team assists intended parents by providing legal clarity on surrogate and parental rights.
3,29,Directed,Request,"Legal Team informs intended parents about the legal obligations tied to IVF and surrogacy, ensuring informed consent."
